primary_target	drug_name_norm	composite_score	tier	primary_pi	logFC_disc	adjP_disc	logFC_cptac	adjP_cptac	n_tumor	n_normal	logFC_tcga	adjP_tcga	baseMean	conc_cptac	conc_tcga	sig_cptac	sig_tcga
EGFR	GEFITINIB	0.71681844849254	hub_central	0.771993016985817	2.230303179486	0.00683672977585757	0.5493645589794104	9.503106401724652e-6	116	66	1.059284678742747	4.851548253542892e-7	25179.03794162247	TRUE	TRUE	TRUE	TRUE
NDUFS2	METFORMIN	0.590995629306915	hub_central	0.30856065856969	-3.0506483676205	3.3019331536891e-4	-0.6416990076380005	1.0179991619850164e-18	116	66	-0.5998348840230839	8.393640487117827e-18	5213.658448801089	TRUE	TRUE	TRUE	TRUE
DNMT1	AZACITIDINE	0.493648868127402	peripheral_diff	0.718200879049837	1.77498157764393	0.019485451638104	0.5241442992135154	9.581363764467964e-25	116	66	0.922910305830571	3.0902275209832823e-19	6366.132739648325	TRUE	TRUE	TRUE	TRUE
PSMA2	CARFILZOMIB	0.457581132374053	hub_central	0.69923947214978	1.300593426	0.0141870780923442	NA	NA	NA	NA	1.538225251461095	1.6740145966416076e-17	24.81328381298198	NA	TRUE	FALSE	TRUE
PDE6D	PENTOXIFYLLINE	0.454081310614431	peripheral_diff	0.70304106365517	1.7093741783	0.0330911850880648	-0.00570976266219521	0.909509109578401	116	66	0.16013736840328432	0.06041293228881205	830.9190637196816	FALSE	TRUE	FALSE	FALSE
ALDH5A1	VALPROIC ACID	0.43839874468568	peripheral_diff	0.49875468353149	-2.31572907008093	0.0141870780923442	-0.973480769003472	7.771676456856885e-22	116	66	-0.8155519634432142	4.546197565084753e-5	883.8427760627345	TRUE	TRUE	TRUE	TRUE
CA2	ACETAZOLAMIDE	0.422365955204116	peripheral_diff	0.524903981443326	-2.3756635676	0.0367664730968215	NA	NA	NA	NA	1.2109397495084644	4.107825700245332e-6	5564.038516259358	NA	FALSE	FALSE	TRUE
MAOA	TRANYLCYPROMINE	0.421456962581597	peripheral_diff	0.537283229179549	-1.87885192474406	0.0254545877060812	-0.9641143141954404	3.863007495510942e-21	116	66	-0.7358763254591396	3.665621049945869e-4	3712.599150568669	TRUE	TRUE	TRUE	TRUE
MMP8	DOXYCYCLINE	0.417592732598856	peripheral_diff	0.735821800079586	2.0770472759	0.0180147511658302	0.710260253988521	4.729381826968784e-7	116	66	2.2936322303069896	1.7490103586087131e-9	22.56118455780145	TRUE	TRUE	TRUE	TRUE
IMPDH2	THIOGUANINE	0.409604558891808	peripheral_diff	0.58019881475232	-1.1412925274	0.0425610790394585	-0.4013178882336462	8.865970080576973e-12	116	66	-0.6210966812605241	4.4352070214620065e-8	7782.300000034826	TRUE	TRUE	TRUE	TRUE
ATP1A1	DIGOXIN	0.39646308310547	peripheral_diff	0.572208604294387	-1.40354581189023	0.0495912391733226	-0.05349304067620655	0.49510657129333874	116	66	-0.17284145718375774	0.27402514781545395	16855.09356524839	TRUE	TRUE	FALSE	FALSE
CDA	CEDAZURIDINE	0.380001580978658	peripheral_diff	0.740746350489473	2.00355505671858	0.012873791988857	0.3789593907363505	2.1153533891779923e-4	116	66	-0.2398712029899826	0.46776286821567664	2117.6235751861027	TRUE	FALSE	TRUE	FALSE
ALDH2	DISULFIRAM	0.368253705700646	peripheral_diff	0.454520930263815	-2.474807654	0.00472992087530572	-1.0128228674109756	9.077677240259489e-26	116	66	-1.1100142774061534	1.2635199561149965e-12	5203.635393892919	TRUE	TRUE	TRUE	TRUE
RPS11	MT-3724	0.368161506439235	hub_central	0.712173069545655	1.72572150198962	0.02276830790333	0.11421384422679431	7.93173246103737e-4	116	66	-0.3449670025778456	0.00304333000248241	53294.68213754629	TRUE	FALSE	TRUE	TRUE
