Gen	UniProt ID	log2FC	FDR (adj.p)	Dirección
PHKA1	P46020	3.744	0.00613	Sobreexpresada
LAMB3	Q13751	3.444	9.23e-4	Sobreexpresada
LAMA3	Q16787	3.22	1.38e-4	Sobreexpresada
SERPINE1	P05121	3.093	0.00946	Sobreexpresada
PTK7	Q13308	3.079	1.43e-4	Sobreexpresada
IL36RN	Q9UBH0	3.043	0.0185	Sobreexpresada
TNC	P24821	2.939	0.00197	Sobreexpresada
ISG15	P05161	2.844	0.00183	Sobreexpresada
FRRS1	Q6ZNA5	2.837	0.00861	Sobreexpresada
RNASE2	P10153	2.836	0.0169	Sobreexpresada
COL4A1	P02462	2.658	0.00174	Sobreexpresada
LSM7	Q9UK45	2.653	0.00755	Sobreexpresada
STARD5	Q9NSY2	2.646	0.00483	Sobreexpresada
EIF2S3B	Q2VIR3	2.644	0.0128	Sobreexpresada
SUB1	P53999	2.635	0.00486	Sobreexpresada
MCM3	P25205	2.621	0.00876	Sobreexpresada
CTHRC1	Q96CG8	2.57	0.00474	Sobreexpresada
PSPH	P78330	2.541	0.00454	Sobreexpresada
HMGB3	O15347	2.539	0.0473	Sobreexpresada
COL4A2	P08572	2.516	6.39e-4	Sobreexpresada
SLC25A4	P12235	-5.99	3.23e-4	Subexpresada
MYLPF	Q96A32	-5.291	9.32e-4	Subexpresada
HSPB6	O14558	-4.923	3.3e-4	Subexpresada
MYL2	P10916	-4.907	0.00177	Subexpresada
CASQ1	P31415	-4.84	0.00362	Subexpresada
SYPL2	Q5VXT5	-4.724	0.00221	Subexpresada
FHL1	Q13642	-4.701	0.00394	Subexpresada
MYH2	Q9UKX2	-4.685	0.0035	Subexpresada
MYL3	P08590	-4.657	0.00256	Subexpresada
MYH7	P12883	-4.573	0.00397	Subexpresada
BPIFB1	Q8TDL5	-4.415	0.00256	Subexpresada
CRYAB	P02511	-4.342	0.00174	Subexpresada
LDB3	O75112	-4.268	0.0103	Subexpresada
BPIFA1	Q9NP55	-4.167	0.0255	Subexpresada
PYGM	P11217	-4.013	0.00219	Subexpresada
MYL1	P05976	-4	0.00412	Subexpresada
GPD1	P21695	-3.997	0.00177	Subexpresada
TCAP	O15273	-3.932	0.0192	Subexpresada
PADI2	Q9Y2J8	-3.859	0.00275	Subexpresada
ATP2A1	O14983	-3.756	0.00362	Subexpresada
