Pathway	NES	p-valor	FDR	Genes en set	Dirección	core_enrichment
Oxidative Phosphorylation	-2.231	1.46e-21	6.7e-20	132	Reprimido en tumor	27429/4706/7386/6389/3030/3421/8050/1340/3945/4704/50/2110/1737/3420/4723/11331/7388/4967/4726/593/3032/515/10935/1528/2109/7381/2806/9551/4190/3419/4259/10632/1345/2108/4729/10449/8802/9377/23530/4697/4713/5162/4702/5250/4695/4329/1329/8803/539/498/7416/7417/4719/8402/374291/1431/6390/481/4707/521/7419/37/7385/4698/1327/34/6391/8604/4710/29796/506/10476/5160/7384/513/509/4720/4722/1537/291
Myogenesis	-1.996	1.62e-10	3.72e-9	102	Reprimido en tumor	4619/1974/8048/1012/6876/1756/1674/2180/347/274/3270/140465/7169/2170/5224/1158/2027/6649/1191/7138/7136/845/4622/7125/88/178/4151/9172/7135/1384/8557/1160/5213/8736/3679/203/11155/487/948/4632/5837/4625/2273/4620/844/1410/4634/4633/29895
Adipogenesis	-1.838	2.81e-7	4.31e-6	107	Reprimido en tumor	1892/5004/10313/35/2820/11343/9131/10989/977/348/2040/4706/27069/2167/3421/134147/7532/5236/7905/50/1737/51727/593/1376/54996/10935/284119/10113/2109/3419/4259/5860/10449/8802/4713/539/8436/217/1384/1431/6390/4698/3679/34/6391/29796/7384/948/57017/4722/1537
Fatty Acid Metabolism	-1.755	5.34e-6	4.91e-5	96	Reprimido en tumor	1892/1429/35/2820/11343/3939/84263/2194/84532/762/10961/6389/3421/3158/84693/6281/224/50/3956/2110/3420/216/2180/1376/3032/4128/2052/760/4190/594/8801/2027/10449/8802/5162/8803/10455/1384/9588/37/34/6391/5160/948/8639/2819
Reactive Oxygen Species Pathway	-1.543	0.011	0.0423	32	Reprimido en tumor	4257/7001/9588/4710/4720
Heme Metabolism	-1.516	0.00565	0.0236	67	Reprimido en tumor	2035/7145/2235/51327/51218/5091/27429/3043/118/3045/8991/286/4354/6708/760/645/4259/3005/6710/23530/2038/7001/4329/6521
Epithelial Mesenchymal Transition	1.517	0.00438	0.0201	105	Activado en tumor	3909/1284/3371/1282/1281/5054/115908/5479/4313/3918/7171/1290/1303/1462/1289/10631/822
Tnfa Signaling Via Nfkb	1.768	0.00162	0.00828	30	Activado en tumor	3914/3371/5054/5271/51278
Interferon Alpha Response	1.867	3.12e-4	0.00179	33	Activado en tumor	9636/5698/5696/5610/9111/51056/10437/103/3959/5684/6890
Interferon Gamma Response	1.907	2.05e-5	1.57e-4	65	Activado en tumor	9636/840/5699/5698/5696/4860/5610/9111/5683/5690/51056/836/10437/103/3959/5684/3105/6890/958/7412/567/5214/10875/84888/5777
G2m Checkpoint	1.956	5.14e-5	3.38e-4	51	Activado en tumor	6434/6632/4172/6426/9184/6427/3149/1736/3312/4926/4001/4678/6421/10951/7040/3799/8243/3930/2130
E2f Targets	2.008	3.14e-6	3.61e-5	64	Activado en tumor	6434/4172/6426/6427/3149/11051/1786/4830/7037/4001/4678/7913/79077/25842/10111/23468/10527/8243/3930/55148/6749/1854
